stop_name,stop_lat,stop_lng
Bílá labuť,50.090261,14.435865
Bílý Beránek,50.061382,14.309516
Býkev,50.347166,14.416799
"Býkev,Jenišovice",50.346999,14.401608
Běchovice,50.081208,14.616919
Bělocerkevská,50.072581,14.471071
Břetislavka,50.123128,14.389708
Břevnovská,50.085513,14.364904
Břevnovský klášter,50.083206,14.358785
Březiněves,50.164667,14.48375
Březiněveská,50.126416,14.456998
"Březová-Oleško,Březová",49.915035,14.415589
"Březová-Oleško,Nová Březová",49.9192,14.400648
"Březová-Oleško,Oleško",49.902015,14.410529
"Březová-Oleško,Olešská",49.915162,14.41176
"Březová-Oleško,U topolů",49.90832,14.413154
"Březová-Oleško,Zahradní",49.918064,14.405264
"Březí,Podskalí",50.015371,14.69723
"Březí,U křížku",50.013684,14.689848
"Březí,V Jezírku",50.014101,14.69529
Břežany II,50.092893,14.805734
"Břežany II,U sokolovny",50.08968,14.805444
"Břežany II,na Malé Straně",50.093858,14.802615
Bříství,50.134059,14.841686
"Bříství,Svárov",50.130556,14.842416
Cementárna Radotín,49.994097,14.34256
Centrum Zahradní Město,50.056377,14.506879
Chaplinovo náměstí,50.035153,14.377348
Chlumín,50.28895,14.449328
Chmelnice,50.092522,14.486399
Choceradská,50.043145,14.490263
Chocerady,49.872071,14.802641
"Chocerady,Růženín,sídliště",49.88491,14.826925
"Chocerady,Samechov",49.879481,14.84842
"Chocerady,Vlkovec,žel.st.",49.874166,14.814034
Chodov,50.03118,14.491308
Chodovec,50.039646,14.490527
Chodovská,50.056228,14.471639
Chodovská tvrz,50.033224,14.500103
Cholupice,49.986842,14.445483
Cholupice náměstí,49.988456,14.44899
Cholupický vrch,49.994318,14.434691
Choteč,49.98537,14.283369
Chotkovy sady,50.095408,14.40889
Chrást,50.117662,14.901565
"Chrást,host.",50.120886,14.895162
Chrášťany,50.055302,14.594342
"Chrášťany,Bylany",50.064675,14.909217
"Chrášťany,Bylany,škola",50.066744,14.907467
"Chrášťany,Chotouň",50.067184,14.956399
"Chrášťany,Mezcestí",50.041968,14.253025
"Chrášťany,Protherm",50.047414,14.264268
"Chrášťany,Scania-Label",50.050672,14.272294
Chvaly,50.112584,14.5959
Chvatěruby,50.235111,14.346542
Chýnice,49.994314,14.264848
"Chýnice,Pod Radnicí",49.99594,14.264064
Chýnovská,50.016351,14.450533
Chýně,50.061094,14.228915
"Chýně,Háje",50.058702,14.220164
"Chýně,Na Vyhlídce",50.053818,14.226329
"Chýně,Pivovarský dvůr",50.06233,14.232101
"Chýně,Žitná",50.059306,14.244625
Cibulka,50.065534,14.363368
Cikánka,49.99745,14.322624
Ciolkovského,50.088064,14.307056
Ctěnice,50.147718,14.560691
Cukrovar Modřany,49.999476,14.406357
Cukrovar Čakovice,50.15161,14.519
Cílkova,50.016501,14.443308
Císařská louka,50.064541,14.413001
Darwinova,50.010809,14.409958
"Davle,Na Javorce",49.896654,14.399952
"Davle,Portus",49.875734,14.390863
"Davle,Sloup",49.888403,14.374696
"Davle,Sloup,U Jeřábu",49.890674,14.376758
"Davle,Sázava",49.885814,14.396997
"Davle,Sázava,Třešňovka",49.884788,14.402489
"Davle,obec",49.890416,14.399138
"Davle,pod Račany",49.891494,14.390764
"Davle,u Kiliána",49.879792,14.389104
"Davle,u pomníku",49.892067,14.400721
Dejvická,50.100791,14.392694
Depo Hostivař,50.076883,14.516781
Depo Kačerov,50.045655,14.470514
Depo Zličín,50.053297,14.277748
Diskařská,50.07919,14.381632
Divadlo Gong,50.106668,14.488342
Divadlo Horní Počernice,50.116851,14.621792
Divadlo Na Fidlovačce,50.064738,14.436708
Divadlo pod Palmovkou,50.10566,14.472751
Divoká Šárka,50.092663,14.324415
Dlouhá míle,50.089854,14.301594
Dlouhá třída,50.091104,14.427719
Do Lipan,50.007856,14.626292
Do Rybníčků,50.149651,14.445199
Do Čertous,50.12269,14.610954
Dobeška,50.041828,14.416
Dobratická,50.130343,14.508516
Dobronická,50.011018,14.471957
Dobrovíz,50.114605,14.216804
"Dobrovíz,Obecní úřad",50.113856,14.21955
"Dobrovíz,komerční zóna",50.107523,14.213784
Dobročovice,50.056196,14.698725
Dobročovická,50.073336,14.504916
"Dobřejovice,Jesenická",49.980875,14.573344
"Dobřejovice,Na návsi",49.981772,14.579753
"Dobřejovice,Čestlická",49.983821,14.585552
"Dobřichovice,Pod Vinicí",49.93128,14.276084
"Dobřichovice,nádraží",49.927294,14.288486
"Dobřichovice,pošta",49.92717,14.274604
"Dobřichovice,rozc.Karlík",49.928045,14.271644
"Dobřichovice,ÚKZÚZ",49.93584,14.283479
Dobříč,50.021194,14.257847
"Dobříš,Kodetka",49.798756,14.195724
"Dobříš,Kostelíček",49.783841,14.181521
"Dobříš,Průmyslová zóna",49.795038,14.19073
"Dobříš,Větrník",49.789572,14.177492
"Dobříš,nám.",49.781459,14.170536
"Dobříš,žel.st.",49.78932,14.184578
"Dolany,Debrno",50.217112,14.323924
Doležalova,50.10185,14.570202
Doliny,50.057462,14.424446
Dolnokrčská,50.0358,14.442333
Dolnokřeslická,50.024458,14.560383
Dolnoměcholupská,50.060062,14.557746
Dolnočernošická,49.959616,14.328988
"Dolní Břežany,Lhota",49.956181,14.432774
"Dolní Břežany,Na Rovném",49.958424,14.450039
"Dolní Břežany,Na kopečku",49.969011,14.462014
"Dolní Břežany,Obecní úřad",49.963261,14.456212
"Dolní Břežany,Zálepy",49.94843,14.411379
"Dolní Břežany,hřiště",49.961456,14.452609
"Dolní Břežany,náměstí",49.964124,14.459049
"Dolní Břežany,škola",49.966219,14.460881
Dolní Chabry,50.151026,14.437691
Dolní Měcholupy,50.056868,14.561883
Dolní Počernice,50.085239,14.576952
Dolní Černošice,49.962971,14.33237
Dolní Šárka,50.115725,14.37397
Domov seniorů Ďáblice,50.135547,14.474096
Donatellova,50.072529,14.50812
Donovalská,50.036942,14.508716
Dostihová,50.012738,14.394117
Doubek,50.01699,14.737229
Doubravčice,50.022746,14.791875
"Doubravčice,Rozc.Vrátkov",50.028692,14.808162
"Doubravčice,bytovky",50.023086,14.79578
"Doubravčice,Čihadla",50.016601,14.784212
Drahelčice,50.031403,14.203469
Drazdecká,49.995907,14.518542
Dreyerova,50.036392,14.383008
Drinopol,50.083938,14.371134
Drnovská,50.083047,14.311468
Drobná,50.072835,14.556211
Druhanická,50.072281,14.652828
Družná,50.012167,14.416982
Dubeč,50.061823,14.596531
Dubeček,50.055993,14.579941
Dubečská,50.065358,14.50235
Dunajecká,50.125555,14.426437
Dvorce,50.047086,14.414692
Dyrinka,50.10795,14.374708
Dívčí hrady,50.055851,14.399149
Dědina,50.09341,14.304451
Dědinova,50.033909,14.483524
Děkanka,50.053346,14.430968
Dělnická,50.103146,14.449927
Dětská nemocnice Karlov,50.070783,14.428554
Dřevařská,50.126244,14.564678
Dřevčice,50.166695,14.62834
"Dřevčice,Cihelna",50.17156,14.638556
"Dřevčice,Rozc.Jenštejn",50.160102,14.612488
"Dřínov,Náves",50.273887,14.39816
"Dřínov,Stavadla",50.269958,14.396431
"Dřínov,U Kříže",50.277668,14.395875
"Dřínov,U Rybníka",50.274282,14.399382
Dřísy,50.256431,14.644678
"Dřísy,U Vily",50.251702,14.644322
"Dřísy,žel.st.",50.24339,14.635554
Důstojnické domy,50.124486,14.532162
Elišky Přemyslovny,49.974941,14.393112
Farkáň,50.060564,14.380932
Filadelfie,50.048617,14.453196
Filmové ateliéry,50.031046,14.392093
Filosofská,50.021918,14.4282
Flora,50.078149,14.461904
Florenc,50.090438,14.438626
Formanská,50.014399,14.543972
Františka Veselého,50.12156,14.619996
Franty Kocourka,50.060651,14.403366
Frančíkova,50.010592,14.356874
Fruta,50.043484,14.581516
Fryčovická,50.139278,14.504915
Generála Janouška,50.102634,14.563925
Geologická,50.036308,14.388084
Gercenova,50.050224,14.543524
Goetheho,50.107436,14.404091
Grussova,50.034376,14.370709
Habrová,50.087998,14.491051
Hadovitá,50.051532,14.457148
Hadovka,50.099487,14.375429
Halenkovská,50.062576,14.287016
Hanspaulka,50.104686,14.373023
Hasičská,50.078281,14.603678
Hasova,50.015364,14.426986
Haštalské náměstí,50.091001,14.424039
Hejtmanská,50.105344,14.557118
Hellichova,50.084922,14.404323
Hercovka,50.121964,14.452262
Herink,49.967721,14.57523
Hlavenec,50.237917,14.70089
"Hlavenec,U 4 kamenů křiž.",50.226827,14.7172
Hlavní,50.04673,14.486984
Hlavní nádraží,50.084162,14.434805
Hlohová,50.056392,14.502132
Hloubětín,50.106301,14.537048
Hloubětínská,50.104475,14.535575
Hlubočepy,50.042325,14.404465
Hlušičkova,50.063891,14.316094
Hládkov,50.090382,14.385701
"Hlásná Třebaň,Rovina",49.923447,14.227941
Hlávkova,50.036403,14.314267
Hněvkovského,50.032392,14.518314
Holečkova,50.07427,14.395394
Holoubkovská,50.043576,14.560504
Holubice,50.201677,14.293351
"Holubice,Kozinec",50.196732,14.295022
"Holubice,Kozinec,Habrová",50.198899,14.297766
Holyně,50.029342,14.356116
Horky,50.06166,14.44612
Hornocholupická,49.997476,14.424932
Horní Beřkovice,50.359315,14.345792
Horní Kruty,49.919601,14.959782
"Horní Kruty,Bohouňovice II",49.91449,14.972221
"Horní Kruty,Dolní Kruty",49.91483,14.958366
"Horní Kruty,Přestavlky",49.911255,14.956956
"Horní Kruty,Újezdec",49.900189,14.94751
"Horní Kruty,Újezdec,rozc.0.8",49.89243,14.94482
Horní cesta,50.033267,14.396449
Horoměřice,50.131442,14.339716
"Horoměřice,V lipkách",50.135716,14.336336
"Horoměřice,Švejkova",50.131809,14.349352
Horoušany,50.10619,14.740707
"Horoušany,Horoušánky",50.099749,14.712524
"Horoušany,Horoušánky,Náves",50.098598,14.724582
"Horoušany,U Rybníka",50.108056,14.741199
Horčičkova,50.031892,14.534074
Hostavice,50.090121,14.563329
Hostivařská,50.052756,14.529268
Hostivařské náměstí,50.050126,14.526366
Hostivice,50.081222,14.254407
"Hostivice,Břve",50.069564,14.242531
"Hostivice,Břve,sportovní hala",50.068695,14.247069
"Hostivice,Jeneček",50.082264,14.240226
"Hostivice,Litovice",50.079593,14.245334
"Hostivice,Na Pískách",50.075884,14.257398
"Hostivice,Nouzov",50.080389,14.262581
"Hostivice,Palouky",50.078915,14.281163
"Hostivice,Průmyslová",50.079474,14.270184
"Hostivice,Sportovců",50.07896,14.242225
"Hostivice,Staré Litovice",50.076469,14.238747
